GroupName,ClassName,RunInParallel,ProjectName
SaaS_TestAddOwnerMemberToBudget,Automation.SaaS.api.budget.TestAddOwnerMemberToBudget,true,"SaaS,CustomerFrontend"
SaaS_TestPaymentLink,Automation.SaaS.web.invoices.TestPaymentLink,true,"SaaS,CustomerFrontend"
SaaS_TestClaims,Automation.SaaS.api.claim.TestClaims,true,"SaaS,CustomerFrontend"
SaaS_TestPaymentLinkApi,Automation.SaaS.api.invoices.TestPaymentLinkApi,true,"SaaS,CustomerFrontend"
SaaS_TestBillLineItem,Automation.SaaS.web.bookkeeping.TestCreateBillLines,true,"SaaS,CustomerFrontend"
SaaS_TestMakeTransferWithBudget,Automation.SaaS.api.budget.TestMakeTransferWithBudget,true,"SaaS,CustomerFrontend"
SaaS_TestBillLineItem,Automation.SaaS.api.bookkepping.TestCreateBillLines,true,"SaaS,CustomerFrontend"
SaaS_TestReportingField,Automation.SaaS.api.bookkepping.TestReportingField,true,"SaaS,CustomerFrontend"
SaaS_TestInvoiceApi,Automation.SaaS.api.invoices.TestInvoiceApi,true,"SaaS,CustomerFrontend"
SaaS_TestCreateInvoices,Automation.SaaS.web.invoices.TestCreateInvoices,true,"SaaS,CustomerFrontend"
SaaS_TestXeroBill,Automation.SaaS.api.bookkepping.TestXeroBill,true,"SaaS,CustomerFrontend"
SaaS_TestExportData,Automation.SaaS.web.bookkeeping.TestExportData,true,"SaaS,CustomerFrontend"
SaaS_TestBudgetUpdationFlows,Automation.SaaS.web.budget.TestBudgetUpdationFlows,true,"SaaS,CustomerFrontend"
SaaS_TestExpenseSyncFlows,Automation.SaaS.web.bookkeeping.TestExpenseSync,true,"SaaS,CustomerFrontend"
